Make,Model,Registration Year,Mileage,Body Type,Category,Colour,Cylinder Layout,Dekra,Drive,Engine Capacity,Features,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type,Gears,Kilowatts,Maintenance plan,No of Doors,No of Seats,Spare Key,Transmission,Vehicle Service History,Warranty,Price
Mercedes-Benz,V250,2021,37000,Multi Purpose Vehicle,A,Grey,I4,Platinum,R,2143,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",9497,6.0,75,Diesel,7,140,No,5,7,True,Automatic,"Complete, Up To Date",2026/09/30,1292000
Volvo,Xc90,2021,74000,Sports Utility Vehicle (SUV),A,Grey,I4,Platinum,FR,1969,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16524,2.1,50,Hybrid,8,300,2024/11/30,5,7,True,Automatic,"Complete, Up To Date",2025/12/01,888900
Land Rover,Range Rover,2018,32000,Sports Utility Vehicle (SUV),A,Silver,V6,Platinum,FR,2993,['Reverse camera'],17634,7.8,80,Diesel,8,190,No,5,5,True,Automatic,"Complete, Up To Date",No,949900
Land Rover,Range Rover,2018,56000,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4367,[],23708,8.55,86,Diesel,8,250,2023/07/31,5,5,True,Automatic,"Complete, Up To Date",2023/07/31,1283900
Jaguar,F-Pace,2019,50000,Sports Utility Vehicle (SUV),A,Silver,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16506,11.9,66,Petrol,8,405,No,5,5,False,Automatic,"Complete, Up To Date",2024/06/15,887900
BMW,X5,2022,32522,Sports Utility Vehicle (SUV),A,White,I6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",22780,6.8,80,Diesel,8,195,2027/08/19,5,5,True,Automatic,"Complete, Up To Date",2027/08/19,1232900
Land Rover,Defender 90,2021,55400,Sports Utility Vehicle (SUV),A,Green,I4,Platinum,FR,1999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",22598,7.6,89,Diesel,8,177,2026/03/24,3,6,True,Automatic,"Complete, Up To Date",2026/03/24,1297900
Toyota,Prado,2022,19996,Sports Utility Vehicle (SUV),A,White,I4,Platinum,FR,2755,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17525,7.9,150,Diesel,6,150,No,5,7,True,Automatic,"Complete, Up To Date",2025/08/23,943900
Jaguar,F-Pace,2019,54277,Sports Utility Vehicle (SUV),A,White,V8,Platinum,FR,4999,[],16506,11.9,66,Petrol,8,405,2024/06/30,5,5,True,Automatic,"Complete, Up To Date",2024/06/30,887900
Mercedes-Benz,GLE,2016,96258,Sports Utility Vehicle (SUV),A,Grey,V8,Platinum,FR,5461,['Reverse camera'],17525,11.9,93,Petrol,9,430,No,5,4,True,Automatic,Partial but Up to Date,No,943900
Land Rover,Defender 90,2021,99300,Sports Utility Vehicle (SUV),A,Brown,I4,Green,FR,1999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16506,7.6,89,Diesel,8,177,2026/01/02,3,6,False,Automatic,"Complete, Up To Date",2026/02/02,887900
Mercedes-Benz,S Class,2015,71202,Sedan,A,Silver,V8,Platinum,R,5461,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16470,10.1,90,Petrol,7,430,No,4,4,True,Automatic,Partial but Up to Date,No,885900
Mercedes-Benz,GLE,2019,74000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17488,9.4,94,Petrol,9,288,No,5,4,True,Automatic,"Complete, Up To Date",2024/12/05,941900
Mercedes-Benz,C Class,2020,25000,Cabriolet,A,White,V6,Platinum,FR,2996,[],16415,9.9,73,Petrol,9,287,2025/01/01,2,4,True,Automatic,"Complete, Up To Date",No,882900
Land Rover,Range Rover Sport,2018,44178,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2993,[],17452,7.0,86,Diesel,8,225,No,5,5,True,Automatic,"Complete, Up To Date",No,939900
Land Rover,Range Rover Sport,2018,85000,Sports Utility Vehicle (SUV),A,Grey,V6,Green,FR,2993,"['CarPlay or Android Auto', 'Reverse camera']",16397,7.8,86,Diesel,8,190,No,5,5,False,Automatic,Partial but Up to Date,No,881900
Volkswagen,Touareg,2021,55000,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2967,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17434,7.1,90,Diesel,8,190,No,5,5,True,Automatic,"Complete, Up To Date",2026/05/10,938900
BMW,X5,2019,95000,Sports Utility Vehicle (SUV),A,Grey,I6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17324,6.8,80,Diesel,8,294,2024/09/30,5,5,True,Automatic,"Complete, Up To Date",2024/09/30,932900
BMW,7 Series,2019,45743,Sedan,A,Black,V8,Platinum,R,4395,[],16379,7.9,78,Petrol,8,330,2024/03/29,4,4,True,Automatic,"Complete, Up To Date",2024/03/29,880900
Audi,R8,2013,73337,Coupe,A,Silver,V8,Gold,FR,4163,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16252,12.4,75,Petrol,7,316,No,2,2,True,Automatic,"Complete, Up To Date",No,897900
Jaguar,F-Pace,2020,50000,Sports Utility Vehicle (SUV),A,Silver,V8,Platinum,FR,4999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17306,11.9,66,Petrol,8,405,2024/11/30,5,5,False,Automatic,"Complete, Up To Date",2024/11/30,931900
Toyota,Prado,2019,34518,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,3956,"['CarPlay or Android Auto', 'Reverse camera']",16070,11.3,150,Petrol,6,202,No,5,7,True,Automatic,Partial but Up to Date,No,863900
Audi,RS3,2020,38000,Hatchback,A,Blue,I5,Platinum,FR,2480,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16070,8.3,55,Petrol,7,294,2025/12/23,5,5,True,Automatic,"Complete, Up To Date",No,863900
Land Rover,Range Rover Sport,2019,60000,Sports Utility Vehicle (SUV),A,Red,V6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17288,7.0,86,Diesel,8,225,2024/01/28,5,5,False,Automatic,"Complete, Up To Date",No,930900
Jaguar,F-Pace,2019,41000,Sports Utility Vehicle (SUV),A,Red,V8,Green,FR,4999,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16252,11.9,66,Petrol,8,405,No,5,5,True,Automatic,"Complete, Up To Date",No,873900
Land Rover,Discovery,2020,82000,Sports Utility Vehicle (SUV),A,Black,V6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",17161,7.8,85,Diesel,8,190,2025/09/30,5,5,False,Automatic,"Complete, Up To Date",No,923900
Mercedes-Benz,C Class,2017,85000,Coupe,A,White,V8,Green,R,3982,"['Reverse camera', 'Auto stop-start']",16070,8.9,66,Petrol,7,375,No,2,4,False,Automatic,"Complete, Up To Date",No,863900
Toyota,Land Cruiser 70 Series,2022,2000,Station Wagon,A,Beige,V8,Platinum,FR,4461,['Reverse camera'],17143,11.9,130,Diesel,5,151,No,5,5,True,Manual,"Complete, Up To Date",2027/04/29,922900
Toyota,Land Cruiser,2017,166709,Sports Utility Vehicle (SUV),A,White,V8,Gold,FR,4461,['Reverse camera'],16233,10.3,138,Diesel,6,173,No,5,7,True,Automatic,"Complete, Up To Date",No,872900
BMW,X5,2019,61149,Sports Utility Vehicle (SUV),A,White,I6,Green,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16033,6.8,80,Diesel,8,195,No,5,5,True,Automatic,Complete but Due,No,885900
Volkswagen,T6.1,2022,55000,Bus,A,White,I4,Platinum,R,1968,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",16215,7.33,80,Diesel,7,146,No,5,8,False,Automatic,"Complete, Up To Date",2024/10/21,871900
Volkswagen,Tiguan,2023,26000,Sports Utility Vehicle (SUV),A,Blue,I4,Platinum,FR,1984,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",11730,6.6,58,Petrol,7,235,No,5,5,False,Automatic,"Complete, Up To Date",No,922000
Land Rover,Discovery,2020,81110,Sports Utility Vehicle (SUV),A,White,V6,Platinum,FR,2993,"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",15961,7.8,85,Diesel,8,190,2025/04/14,5,5,True,Automatic,"Complete, Up To Date",No,891900
Toyota,Land Cruiser 70 Series,2022,15000,Station Wagon,A,White,V8,Platinum,FR,4461,"['CarPlay or Android Auto', 'Reverse camera']",17106,11.9,130,Diesel,5,151,No,5,5,True,Manual,"Complete, Up To Date",No,920900
