Age,Body Type_Bus,Body Type_Cabriolet,Body Type_Coupe,Body Type_Crossover (SUV),Body Type_Hatchback,Body Type_Multi Purpose Vehicle,Body Type_Other,Body Type_Sedan,Body Type_Sports Utility Vehicle (SUV),Body Type_Station Wagon,Category,Colour_Black,Colour_Blue,Colour_Gold,Colour_Grey,Colour_Other,Colour_Red,Colour_Silver,Colour_White,Cylinder Layout_I,Cylinder Layout_Other,Cylinder Layout_V,Dekra,Drive Front,Drive Rear,Engine Capacity,Feature_Auto stop-start,Feature_CarPlay or Android Auto,Feature_Reverse camera,Finance Price,Fuel Consumption,Fuel Tank Capacity,Fuel Type_Diesel,Fuel Type_Hybrid,Fuel Type_Petrol,Gears,Horsepower,Make Model,Mileage,No of Cylinders,No of Doors,No of Seats,Remaining Maintenance Plan,Remaining Warranty,Spare Key,Transmission,Vehicle Service History,Price
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,2993,True,True,True,18779,6.8,80,True,False,False,8,394.25988,19,68500,6,5,5,132,0,False,0,0,1012900
3,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,False,False,True,2,True,True,4999,True,True,True,18070,11.9,66,False,False,True,8,543.1131,59,77850,8,5,5,586,555,True,0,0,973900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,0,True,True,1997,True,True,True,16444,7.65,88,True,False,False,8,237.36054000000001,73,90000,4,5,7,599,599,True,0,0,995000
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,True,False,False,0,True,True,2755,False,False,True,18034,7.9,150,True,False,False,6,201.15300000000002,137,67642,4,5,7,0,0,False,0,0,971900
1,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,2995,True,True,True,25963,9.1,85,False,False,True,8,335.25500000000005,5,4000,6,5,5,1523,62,True,0,0,1407900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2995,False,False,False,25508,9.63,104,False,False,True,8,359.39336000000003,78,32000,6,5,5,18,18,True,0,0,1382900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2995,True,False,True,17997,10.5,104,False,False,True,8,335.25500000000005,78,92000,6,5,5,426,0,True,0,0,969900
12,False,False,True,False,False,False,False,False,False,False,0,False,True,False,False,False,False,False,False,False,False,True,0,True,True,5204,False,False,False,18361,13.7,90,False,False,True,7,517.63372,5,55000,10,2,2,0,0,False,0,1,989900
2,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,3346,False,False,False,25417,8.9,110,True,False,False,10,301.72950000000003,135,17000,6,5,7,223,0,True,0,0,1377900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,1997,True,True,True,17997,2.8,104,False,True,False,8,398.28294000000005,78,69753,4,5,5,131,0,False,0,0,969900
2,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2967,False,False,False,18325,7.1,90,True,False,False,8,254.79380000000003,154,24000,6,5,5,403,38,True,0,0,987900
2,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,3346,True,True,True,24872,8.9,110,True,False,False,10,301.72950000000003,135,33000,6,5,7,0,553,True,0,0,1347900
7,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4461,True,True,True,17888,10.3,138,True,False,False,6,231.99646,135,88994,8,5,7,0,0,True,0,0,963900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,4999,False,True,True,24599,13.8,105,False,False,True,8,502.88250000000005,78,51000,8,5,4,0,0,True,0,0,1332900
3,False,False,False,False,False,False,False,False,True,False,0,True,False,False,False,False,False,False,False,True,False,False,2,True,True,1969,True,True,True,17888,2.1,50,False,True,False,8,402.30600000000004,161,49000,4,5,7,587,587,True,0,0,963900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4999,True,True,True,16542,11.9,66,False,False,True,8,543.1131,59,41000,8,5,5,0,94,False,0,0,889900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,5000,False,False,True,24035,12.8,104,False,False,True,8,517.63372,78,63018,8,5,5,359,359,True,0,0,1301900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,2993,True,True,True,16542,7.0,86,True,False,False,8,301.72950000000003,80,72000,6,5,5,0,0,True,0,1,889900
4,False,False,False,False,False,False,False,True,False,False,0,False,True,False,False,False,False,False,False,False,False,True,0,True,True,4395,True,True,True,22489,10.7,68,False,False,True,8,522.9978,15,26502,8,4,5,222,0,True,0,0,1297000
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2995,True,True,True,17779,10.5,104,False,False,True,8,335.25500000000005,78,76250,6,5,5,0,0,True,0,0,957900
7,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4461,False,False,True,17706,10.3,138,True,False,False,6,231.99646,135,99000,8,5,7,0,0,True,0,0,953900
3,False,False,False,False,False,True,False,False,False,False,0,False,False,False,True,False,False,False,False,True,False,False,2,False,True,2143,True,True,True,9497,6.0,75,True,False,False,7,187.74280000000002,98,37000,4,5,7,0,860,True,0,0,1292000
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,2,True,True,1969,True,True,True,16524,2.1,50,False,True,False,8,402.30600000000004,161,74000,4,5,7,191,557,True,0,0,888900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,2,True,True,2993,False,False,True,17634,7.8,80,True,False,False,8,254.79380000000003,78,32000,6,5,5,0,0,True,0,0,949900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4367,False,False,False,23708,8.55,86,True,False,False,8,335.25500000000005,78,56000,8,5,5,0,0,True,0,0,1283900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,2,True,True,4999,True,True,True,16506,11.9,66,False,False,True,8,543.1131,59,50000,8,5,5,0,23,False,0,0,887900
2,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,2993,True,True,True,22780,6.8,80,True,False,False,8,261.4989,19,32522,6,5,5,1183,1183,True,0,0,1232900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,False,False,True,False,False,2,True,True,1999,True,True,True,22598,7.6,89,True,False,False,8,237.36054000000001,77,55400,4,3,6,670,670,True,0,0,1297900
2,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,True,False,False,2,True,True,2755,True,True,True,17525,7.9,150,True,False,False,6,201.15300000000002,137,19996,4,5,7,0,457,True,0,0,943900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,4999,False,False,False,16506,11.9,66,False,False,True,8,543.1131,59,54277,8,5,5,38,38,True,0,0,887900
8,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,2,True,True,5461,False,False,True,17525,11.9,93,False,False,True,9,576.6386,96,96258,8,5,4,0,0,True,0,1,943900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,False,False,True,False,False,0,True,True,1999,True,True,True,16506,7.6,89,True,False,False,8,237.36054000000001,77,99300,4,3,6,589,620,False,0,0,887900
9,False,False,False,False,False,False,False,True,False,False,0,False,False,False,False,False,False,True,False,False,False,True,2,False,True,5461,True,True,True,16470,10.1,90,False,False,True,7,576.6386,98,71202,8,4,4,0,0,True,0,1,885900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2999,True,True,True,17488,9.4,94,False,False,True,9,386.21376000000004,96,74000,6,5,4,0,196,True,0,0,941900
4,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2996,False,False,False,16415,9.9,73,False,False,True,9,384.87274,88,25000,6,2,4,223,0,True,0,0,882900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2993,False,False,False,17452,7.0,86,True,False,False,8,301.72950000000003,80,44178,6,5,5,0,0,True,0,0,939900
6,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,False,False,True,0,True,True,2993,False,True,True,16397,7.8,86,True,False,False,8,254.79380000000003,80,85000,6,5,5,0,0,False,0,1,881900
3,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,2967,True,True,True,17434,7.1,90,True,False,False,8,254.79380000000003,154,55000,6,5,5,0,717,True,0,0,938900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,True,False,False,False,False,True,False,False,2,True,True,2993,True,True,True,17324,6.8,80,True,False,False,8,394.25988,19,95000,6,5,5,130,130,True,0,0,932900
5,False,False,False,False,False,False,False,True,False,False,0,True,False,False,False,False,False,False,False,False,False,True,2,False,True,4395,False,False,False,16379,7.9,78,False,False,True,8,442.5366,15,45743,8,4,4,0,0,True,0,0,880900
11,False,False,True,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,True,1,True,True,4163,True,True,True,16252,12.4,75,False,False,True,7,423.76232000000005,5,73337,8,2,2,0,0,True,0,0,897900
4,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,True,False,False,False,True,2,True,True,4999,True,True,True,17306,11.9,66,False,False,True,8,543.1131,59,50000,8,5,5,191,191,False,0,0,931900
5,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,True,2,True,True,3956,False,True,True,16070,11.3,150,False,False,True,6,270.88604000000004,137,34518,6,5,7,0,0,True,0,1,863900
4,False,False,False,False,True,False,False,False,False,False,0,False,True,False,False,False,False,False,False,True,False,False,2,True,True,2480,True,True,True,16070,8.3,55,False,False,True,7,394.25988,5,38000,5,5,5,579,0,True,0,0,863900
